region,published_stop_name,canonical_candidate,stop_id,latitude,longitude,coordinate_status,identity_status,verification_date
Berhampur,COURTPETA SQUARE,COURTPETA SQUARE,REG-0045,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MKCG STATE BANK,MKCG STATE BANK,REG-0046,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,MKCG MEDICAL COLLEGE SQUARE,MKCG MEDICAL COLLEGE SQUARE,REG-0047,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GAJAPATI NAGAR,GAJAPATI NAGAR,REG-0048,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,JAYAPRAKASH NAGAR,JAYAPRAKASH NAGAR,REG-0049,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ENGINEERING SCHOOL CHOWK BERHAMPUR,ENGINEERING SCHOOL CHOWK BERHAMPUR,REG-0050,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOVERNMENT ITI,GOVERNMENT ITI,REG-0051,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,LIC OFFICE BERHAMPUR,LIC OFFICE BERHAMPUR,REG-0052,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,KHODA SINGH GATE,KHODA SINGH GATE,REG-0053,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GOPALPUR JUNCTION,GOPALPUR JUNCTION,REG-0054,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ROLAND PHARMACY COLLEGE,ROLAND PHARMACY COLLEGE,REG-0055,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,GANJAM LAW COLLEGE,GANJAM LAW COLLEGE,REG-0056,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BHIMA NAGAR,BHIMA NAGAR,REG-0057,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,AMBAPUA,AMBAPUA,REG-0058,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,VIVAK BIHAR,VIVAK BIHAR,REG-0059,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CITY COLLEGE SQUARE BERHAMPUR,CITY COLLEGE SQUARE BERHAMPUR,REG-0060,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,INCOME TAX OFFICE BERHAMPUR,INCOME TAX OFFICE BERHAMPUR,REG-0061,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CENTRAL SCHOOL BERHAMPUR,CENTRAL SCHOOL BERHAMPUR,REG-0062,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,CITY COLLEGE BERHAMPUR,CITY COLLEGE BERHAMPUR,REG-0063,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ROCK GARDEN,ROCK GARDEN,REG-0064,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,BARRACK GROUND,BARRACK GROUND,REG-0065,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
Berhampur,ROCK GARDEN 1,ROCK GARDEN 1,REG-0066,,,unresolved,candidate_only_no_cross-source_physical_merge,2026-08-17
